No.,Gh id,Lon,Lat,Elev,Sname,ELID,Year,Month,RF_30Yrs_Normal
130,WEDEMB21,34.8,8.516667,1850,DEMBIDOLO,PRECIP,2022,8,171.9
131,WEGIDA11,36.61667,9.86667,1850,GIDAAYANA,PRECIP,2022,8,308.5
132,WEGIMB11,35.783333,9.166667,1970,Gimbi,PRECIP,2022,8,332.3
133,WEKAMA21,35.86,9.50622,1317,KAMASHI,PRECIP,2022,8,316.9
134,WENEDJ11,35.45,9.5,1800,NEJO,PRECIP,2022,8,292.2
135,WENEKE12,36.463333,9.083333,2080,Nekemte,PRECIP,2022,8,376.2
136,WESHAM11,37.121167,9.5712,2460,SHAMBU,PRECIP,2022,8,306
137,WESHER13,35.08333,10.8,,SHERKOLE,PRECIP,2022,8,266.2
138,WESIRB11,35.27,10.06223,,SIRBA ABAYA,PRECIP,2022,8,284.7
139,WOAMBA21,39.216667,11.203035,2990,AMBAMARIAM,PRECIP,2022,8,290.7
140,WOAMDE21,38.714259,12.427577,2553,AMDEWORK,PRECIP,2022,8,340
141,WOASSA11,41.5298,11.53,430,Asaita,PRECIP,2022,8,41.8
142,WOBATI21,40.01539,11.19667,1660,Bati,PRECIP,2022,8,212.4
143,WOCHEF21,39.766667,10.983333,1400,CHEFA,PRECIP,2022,8,269.7
144,WOCHIF21,40.02,11.61,926,CHIFRA,PRECIP,2022,8,154.9
145,WOCOMB32,39.717633,11.083899,1857,Combolcha,PRECIP,2022,8,246.1
146,WODALI13,40.32,10.62,650,DALIFAGI,PRECIP,2022,8,103.8
147,WODUBI21,41.01,11.723,376,DUBTI,PRECIP,2022,8,53.9
148,WOELID31,41.917,12.067,660,ELIDAR,PRECIP,2022,8,35.1
149,WOLALI41,39.039839,12.038995,2487,LALIBELA,PRECIP,2022,8,250.6
150,WOMEKA11,38.756691,10.74311,2605,MEKANSELAM,PRECIP,2022,8,187.8
151,WOMILL51,40.77,11.42558,487,MILLE,PRECIP,2022,8,82.7
152,WOSEME11,41,11.76,590,Semera,PRECIP,2022,8,84.6
153,WOSIRI21,39.614281,11.750998,1861,SIRINKA,PRECIP,2022,8,282.9
154,WOTSIT21,38.799889,12.783778,1469,TSITSIKA,PRECIP,2022,8,300.1
155,WOWEGE11,39.221215,11.590343,2952,WEGELTENA,PRECIP,2022,8,243.5
156,WOWERE11,39.436719,10.579488,2708,WEREILU,PRECIP,2022,8,312.3
